"pxcor","pycor","pcolor","plabel","plabel-color"
"-63","62","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-62","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-61","62","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-60","62","[42.5 167.5 42.5]","""""","9.9"
"-59","62","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-58","62","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-57","62","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-56","62","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-55","62","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-54","62","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"-53","62","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-52","62","[0 150 0]","""""","9.9"
"-51","62","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-50","62","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-49","62","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-48","62","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-47","62","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-46","62","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-45","62","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-44","62","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-43","62","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-42","62","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-41","62","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-40","62","[42.5 167.5 42.5]","""""","9.9"
"-39","62","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-38","62","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-37","62","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-36","62","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-35","62","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-34","62","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-33","62","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-32","62","[127.5 202.5 127.5]","""""","9.9"
"-31","62","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-30","62","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-29","62","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-28","62","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-27","62","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-26","62","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-25","62","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-24","62","[42.5 167.5 42.5]","""""","9.9"
"-23","62","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-22","62","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-21","62","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-20","62","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-19","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-18","62","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-17","62","[42.5 167.5 42.5]","""""","9.9"
"-16","62","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-15","62","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-14","62","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-13","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-12","62","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-11","62","[42.5 167.5 42.5]","""""","9.9"
"-10","62","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-9","62","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-8","62","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-7","62","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-6","62","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-5","62","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-4","62","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-3","62","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-2","62","[42.5 167.5 42.5]","""""","9.9"
"-1","62","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"0","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"1","62","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"2","62","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"3","62","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"4","62","[85 185 85]","""""","9.9"
"5","62","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"6","62","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"7","62","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"8","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"9","62","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"10","62","[42.5 167.5 42.5]","""""","9.9"
"11","62","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"12","62","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"13","62","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"14","62","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"15","62","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"16","62","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"17","62","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
